Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,14.621429,14.732143,14.607143,14.686786,12.591936,302220800
2012-01-04,14.642857,14.810000,14.617143,14.765714,12.659608,260022000
2012-01-05,14.819643,14.948214,14.738214,14.929643,12.800155,271269600
2012-01-06,14.991786,15.098214,14.972143,15.085714,12.933965,318292800
2012-01-09,15.196429,15.276786,15.048214,15.061786,12.913448,394024400
2012-01-10,15.211071,15.214286,15.053571,15.115714,12.959688,258196400
2012-01-11,15.095714,15.101786,14.975357,15.091071,12.938557,215084800
2012-01-12,15.081429,15.103571,14.955357,15.049643,12.903042,212587200
2012-01-13,14.989286,15.016071,14.952143,14.993214,12.854662,226021600
2012-01-17,15.150000,15.213929,15.105714,15.167857,13.004392,242897200
2012-01-18,15.248571,15.338214,15.225000,15.325357,13.139425,276791200
2012-01-19,15.362500,15.406071,15.232500,15.276786,13.097785,261738400
2012-01-20,15.267500,15.267857,14.991071,15.010714,12.869663,413974400
2012-01-23,15.095357,15.301786,15.082143,15.264643,13.087373,306062400
2012-01-24,15.182143,15.182143,14.983929,15.014643,12.873029,547638000
2012-01-25,16.230000,16.230356,15.847500,15.952143,13.676814,958314000
2012-01-26,16.012857,16.028214,15.826429,15.879643,13.614654,323985200
2012-01-27,15.869286,16.017143,15.848929,15.974286,13.695796,299709200
2012-01-30,15.918214,16.210714,15.906786,16.178928,13.871251,379341200
2012-01-31,16.271070,16.365713,16.181070,16.302856,13.977499,391683600
2012-02-01,16.371786,16.392500,16.269644,16.292500,13.968622,270046000
2012-02-02,16.282143,16.327499,16.213572,16.254286,13.935858,186796400
2012-02-03,16.332144,16.428572,16.270000,16.417143,14.075484,286599600
2012-02-06,16.370714,16.606428,16.364286,16.570356,14.206841,249412800
2012-02-07,16.616072,16.776787,16.592142,16.743929,14.355661,316223600
2012-02-08,16.803572,17.028214,16.775000,17.024286,14.596030,407890000
2012-02-09,17.170000,17.741072,17.162857,17.613214,15.100951,884214800
2012-02-10,17.534286,17.772142,17.448214,17.622143,15.108613,631302000
2012-02-13,17.840357,17.993929,17.753214,17.950001,15.389703,517216000
2012-02-14,18.023571,18.198570,17.928572,18.195000,15.599752,460398400
2012-02-15,18.366428,18.796070,17.746071,17.773930,15.238746,1506120000
2012-02-16,17.553572,18.031786,17.379642,17.936071,15.377762,944552000
2012-02-17,17.968214,18.134644,17.867857,17.932858,15.375007,535805200
2012-02-21,18.102858,18.387501,18.004286,18.387501,15.764803,605595200
2012-02-22,18.324286,18.410357,18.181070,18.322857,15.709378,483302400
2012-02-23,18.395714,18.493929,18.196428,18.442499,15.811956,568027600
2012-02-24,18.559643,18.674999,18.522858,18.657499,15.996294,415072000
2012-02-27,18.618214,18.875000,18.438572,18.777143,16.098866,547582000
2012-02-28,18.855715,19.121786,18.780357,19.121786,16.394356,600387200
2012-02-29,19.341429,19.557501,19.132143,19.372856,16.609608,952011200
2012-03-01,19.577499,19.578930,19.241785,19.445356,16.671774,683270000
2012-03-02,19.437143,19.528570,19.375713,19.470715,16.693504,431712400
2012-03-05,19.479286,19.552856,18.785713,19.041430,16.325460,809124400
2012-03-06,18.702143,19.060356,18.436428,18.937857,16.236656,810238800
2012-03-07,19.171429,19.206429,18.689285,18.953215,16.249826,798520800
2012-03-08,19.096071,19.392500,19.004286,19.356787,16.595831,516457200
2012-03-09,19.436071,19.562143,19.396786,19.470358,16.693203,418919200
2012-03-12,19.606428,19.714287,19.535713,19.714287,16.902342,407282400
2012-03-13,19.912144,20.292143,19.848213,20.289286,17.395330,690855200
2012-03-14,20.644644,21.240000,20.549999,21.056429,18.053049,1418844000
2012-03-15,21.414642,21.428928,20.662500,20.912857,17.929951,1159718000
2012-03-16,20.882856,21.042856,20.642857,20.913214,17.930262,825487600
2012-03-19,21.370358,21.491785,21.037500,21.467857,18.405785,901236000
2012-03-20,21.411072,21.674999,21.124287,21.641430,18.554605,816662000
2012-03-21,21.526428,21.773214,21.478930,21.517857,18.448656,644042000
2012-03-22,21.349285,21.589287,21.268929,21.405001,18.351896,623870800
2012-03-23,21.446072,21.492857,21.228571,21.287500,18.251156,430488800
2012-03-26,21.421070,21.683929,21.259287,21.677856,18.585838,595742000
2012-03-27,21.649286,22.010000,21.645000,21.945715,18.815489,607129600
2012-03-28,22.084999,22.194643,21.796785,22.057858,18.911640,655460400
2012-03-29,21.885000,22.020000,21.686787,21.780714,18.674025,608238400
2012-03-30,21.741785,21.805714,21.355000,21.412500,18.358332,731038000
2012-04-02,21.493929,22.098928,21.442142,22.093929,18.942562,598351600
2012-04-03,22.403570,22.578930,22.232500,22.475714,19.269894,834559600
2012-04-04,22.298214,22.352142,22.035713,22.296785,19.116489,572980800
2012-04-05,22.392143,22.666430,22.264286,22.631430,19.403402,641298000
2012-04-09,22.361786,22.851429,22.332144,22.722500,19.481480,597536800
2012-04-10,22.854643,23.000000,22.357143,22.444286,19.242947,889725200
2012-04-11,22.721430,22.745358,22.262142,22.364286,19.174360,696614800
2012-04-12,22.321428,22.547501,22.160713,22.241785,19.069332,614336800
2012-04-13,22.289642,22.310715,21.553928,21.615356,18.532257,859644800
2012-04-16,21.787857,21.795713,20.651787,20.718929,17.763683,1050786800
2012-04-17,20.676430,21.785713,20.425358,21.775000,18.669128,1025528000
2012-04-18,21.918571,22.151787,21.525356,21.726429,18.627485,954531200
2012-04-19,21.436428,21.597500,20.875713,20.980000,17.987518,834719200
2012-04-20,21.120714,21.236429,20.372143,20.463572,17.544750,1030985200
2012-04-23,20.378929,20.595358,19.879286,20.417856,17.505558,966529200
2012-04-24,20.093214,20.274643,19.821428,20.010000,17.155876,1076149200
2012-04-25,21.987143,22.071428,21.642857,21.785713,18.678308,905777600
2012-04-26,21.938213,21.953215,21.504642,21.703571,18.607883,536068400
2012-04-27,21.609644,21.649286,21.446428,21.535713,18.463964,406722400
2012-04-30,21.350000,21.371429,20.821428,20.856428,17.881578,506144800
2012-05-01,20.889286,21.312857,20.758215,20.790358,17.824926,610999200
2012-05-02,20.722857,20.978571,20.673571,20.927856,17.942808,427389200
2012-05-03,21.089287,21.121429,20.725000,20.779285,17.815435,390549600
2012-05-04,20.610001,20.655714,20.184643,20.187500,17.308062,529992400
2012-05-07,20.053572,20.456072,20.043928,20.338572,17.437582,460118400
2012-05-08,20.342142,20.410713,19.954643,20.292143,17.397779,497252000
2012-05-09,20.132143,20.499287,20.030357,20.327856,17.428396,480704000
2012-05-10,20.520714,20.567142,20.301430,20.375713,17.469423,333200000
2012-05-11,20.178572,20.516787,20.155357,20.239643,17.352762,399546000
2012-05-14,20.091785,20.268213,19.914286,19.936428,17.092800,352626400
2012-05-15,20.051786,20.115000,19.705357,19.756071,16.938166,476336000
2012-05-16,19.787500,19.888929,19.322857,19.502857,16.721069,560896000
2012-05-17,19.475357,19.553572,18.932858,18.932858,16.232370,717220000
2012-05-18,19.070000,19.407499,18.649286,18.942142,16.240334,732292400
2012-05-21,19.089287,20.055000,19.073214,20.045713,17.186495,631106000
2012-05-22,20.341070,20.495714,19.735001,19.891787,17.054520,694870400
2012-05-23,19.910713,20.457144,19.758215,20.377144,17.470650,584897600
2012-05-24,20.566786,20.589287,20.043928,20.190001,17.310204,496230000
2012-05-25,20.163929,20.208929,19.945356,20.081785,17.217419,328507200
2012-05-29,20.389286,20.500000,20.189644,20.438213,17.523012,380508800
2012-05-30,20.328571,20.713928,20.234285,20.684643,17.734287,529429600
2012-05-31,20.740713,20.767857,20.409286,20.633215,17.690195,491674400
2012-06-01,20.327143,20.451786,20.018572,20.035357,17.177616,520987600
2012-06-04,20.053572,20.267857,19.589287,20.153214,17.278664,556995600
2012-06-05,20.045357,20.231071,19.940357,20.101070,17.233961,388214400
2012-06-06,20.277500,20.494642,20.196428,20.409286,17.498213,401455600
2012-06-07,20.617500,20.618570,20.375000,20.418571,17.506165,379766800
2012-06-08,20.414286,20.735001,20.321428,20.725714,17.769503,347516400
2012-06-11,20.990000,21.017857,20.379642,20.398930,17.489334,591264800
2012-06-12,20.516430,20.593571,20.239286,20.577143,17.642124,435380400
2012-06-13,20.518572,20.660000,20.370714,20.434286,17.519644,293580000
2012-06-14,20.401428,20.482143,20.259287,20.411785,17.500355,345573200
2012-06-15,20.392857,20.522142,20.341070,20.504642,17.579966,335255200
2012-06-18,20.391430,20.996071,20.370358,20.920713,17.936689,440412000
2012-06-19,20.835714,21.071428,20.825001,20.978930,17.986603,361404400
2012-06-20,21.007500,21.044643,20.742857,20.919287,17.935469,358943200
2012-06-21,20.908571,21.007856,20.622856,20.631071,17.688362,326351200
2012-06-22,20.680000,20.792500,20.550714,20.789286,17.824015,284471600
2012-06-25,20.617857,20.707144,20.370358,20.384644,17.477079,304382400
2012-06-26,20.404642,20.517500,20.261786,20.429644,17.515663,276536400
2012-06-27,20.535713,20.597857,20.425714,20.517857,17.591295,202997200
2012-06-28,20.416786,20.500000,20.200357,20.323214,17.424416,282836400
2012-06-29,20.642857,20.857143,20.508928,20.857143,17.882185,421500800
2012-07-02,20.883215,21.195356,20.842857,21.161428,18.143072,400092000
2012-07-03,21.245714,21.428572,21.214287,21.407499,18.354042,241712800
2012-07-05,21.448570,21.940714,21.416071,21.783571,18.676472,484383200
2012-07-06,21.681786,21.730000,21.485001,21.638571,18.552164,418930400
2012-07-09,21.617857,21.924999,21.575357,21.924643,18.797428,379405600
2012-07-10,22.070356,22.138214,21.618214,21.721786,18.623497,511957600
2012-07-11,21.647142,21.702143,21.329287,21.586786,18.507753,469322000
2012-07-12,21.437143,21.552500,21.167143,21.389286,18.338430,428041600
2012-07-13,21.533930,21.685356,21.428572,21.606071,18.524290,311427200
2012-07-16,21.611429,21.843571,21.607857,21.675358,18.583696,301260400
2012-07-17,21.813929,21.839287,21.541071,21.676430,18.584612,293624800
2012-07-18,21.663929,21.726429,21.555714,21.652143,18.563799,252700000
2012-07-19,21.831429,21.976786,21.642857,21.940001,18.810593,436861600
2012-07-20,21.893929,21.944286,21.560715,21.582144,18.503771,397471200
2012-07-23,21.228571,21.639286,20.989643,21.565357,18.489391,487975600
2012-07-24,21.692142,21.774286,21.375357,21.461430,18.400280,565132400
2012-07-25,20.516430,20.742857,20.357143,20.534643,17.605688,877312800
2012-07-26,20.705713,20.728571,20.370001,20.531429,17.602930,406632800
2012-07-27,20.536072,20.922501,20.413929,20.898571,17.917704,403936400
2012-07-30,21.104286,21.408571,20.993570,21.251072,18.219925,379142400
2012-07-31,21.543928,21.846430,21.525715,21.812857,18.701582,462327600
2012-08-01,21.996786,22.014286,21.535713,21.671785,18.580629,384501600
2012-08-02,21.530001,21.810356,21.437500,21.706785,18.610641,332158400
2012-08-03,21.915358,22.070715,21.841429,21.989286,18.852848,344920800
2012-08-06,22.046070,22.316786,21.973572,22.233929,19.062592,302103200
2012-08-07,22.241785,22.321428,22.072857,22.175358,19.012377,290446800
2012-08-08,22.121071,22.281429,22.039286,22.137857,18.980228,244706000
2012-08-09,22.066071,22.204643,22.064285,22.168928,19.088472,221642400
2012-08-10,22.096786,22.205713,22.096430,22.203571,19.118299,194938800
2012-08-13,22.263929,22.500000,22.258928,22.500000,19.373535,278832400
2012-08-14,22.566786,22.807501,22.507500,22.560356,19.425508,340169200
2012-08-15,22.546429,22.642857,22.419643,22.529642,19.399063,257342400
2012-08-16,22.543215,22.741428,22.517857,22.726429,19.568502,254534000
2012-08-17,22.857143,23.149643,22.814644,23.146786,19.930454,442761200
2012-08-20,23.214643,23.755358,23.210714,23.755358,20.454462,613384800
2012-08-21,23.957857,24.102858,23.226070,23.430714,20.174927,812719600
2012-08-22,23.372143,23.892857,23.146786,23.888214,20.568855,565322800
2012-08-23,23.789642,23.924999,23.612499,23.665358,20.376961,420128800
2012-08-24,23.553928,23.910000,23.412500,23.686428,20.395100,437340400
2012-08-27,24.285357,24.316786,24.055000,24.131430,20.778278,427008400
2012-08-28,24.106428,24.146429,23.952499,24.100000,20.751213,267416800
2012-08-29,24.116072,24.202499,24.021429,24.052500,20.710316,202806800
2012-08-30,23.951429,23.983929,23.673214,23.709642,20.415098,302699600
2012-08-31,23.830357,23.878571,23.473213,23.758572,20.457228,338321200
